Character,Strokes,Grade,English meaning,Readings
一,1,1,one,イチ、イツ、ひと、ひと-つ
右,5,1,right (direction),ウ、ユウ、みぎ
雨,8,1,rain,ウ、あめ、（あま）
円,4,1,round;  yen,エン、まる-い
王,4,1,king,オウ
音,9,1,sound,オン、イン、おと、ね
下,3,1,below,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
火,4,1,fire,カ、ひ、（ほ）
花,7,1,flower,カ、はな
貝,7,1,shellfish,かい
学,8,1,study,ガク、まな-ぶ
気,6,1,feeling,キ、ケ
九,2,1,nine,キュウ、ク、ここの、ここの-つ
休,6,1,rest,キュウ、やす-む、やす-まる、やす-める
玉,5,1,ball,ギョク、たま
金,8,1,gold,キン、コン、かね、（かな）
空,8,1,sky,クウ、そら、あ-く、あ-ける、から
月,4,1,month;  moon,ゲツ、ガツ、つき
犬,4,1,dog,ケン、いぬ
見,7,1,see,ケン、み-る、み-える、み-せる
五,4,1,five,ゴ、いつ、いつ-つ
口,3,1,mouth,コウ、ク、くち
校,10,1,school,コウ
左,5,1,left (direction),サ、ひだり
三,3,1,three,サン、み、み-つ、みっ-つ
山,3,1,mountain,サン、やま
子,3,1,child,シ、ス、こ
四,5,1,four,シ、よ、よ-つ、よっ-つ、よん
糸,6,1,thread,シ、いと
字,6,1,letter,ジ、あざ
耳,6,1,ear,ジ、みみ
七,2,1,seven,シチ、なな、なな-つ、（なの）
車,7,1,car,シャ、くるま
手,4,1,hand,シュ、て、（た）
十,2,1,ten,ジュウ、ジッ、とお、と
出,5,1,exit,シュツ、（スイ）、で-る、だ-す
女,3,1,woman,ジョ、ニョ、（ニョウ）、おんな、め
小,3,1,small,ショウ、ちい-さい、こ、お
上,3,1,up,ジョウ、（ショウ）、うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す
森,12,1,forest,シン、もり
人,2,1,person,ジン、ニン、ひと
水,4,1,water,スイ、みず
正,5,1,correct,セイ、ショウ、ただ-しい、ただ-す、まさ
生,5,1,life,セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま
青,8,1,blue,セイ、（ショウ）、あお、あお-い
夕,3,1,evening,セキ、ゆう
石,5,1,stone,セキ、（シャク）、（コク）、いし
赤,7,1,red,セキ、（シャク）、あか、あか-い、あか-らむ、あか-らめる
千,3,1,thousand,セン、ち
川,3,1,river,セン、かわ
先,6,1,previous,セン、さき
早,6,1,early,ソウ、（サッ）、はや-い、はや-まる、はや-める
草,9,1,grass,ソウ、くさ
足,7,1,foot,ソク、あし、た-りる、た-る、た-す
村,7,1,village,ソン、むら
大,3,1,large,ダイ、タイ、おお、おお-きい、おお-いに
男,7,1,male,ダン、ナン、おとこ
竹,6,1,bamboo,チク、たけ
中,4,1,middle,チュウ、（ジュウ）、なか
虫,6,1,insect,チュウ、むし
町,7,1,town,チョウ、まち
天,4,1,heaven,テン、あめ、（あま）
田,5,1,rice paddy,デン、た
土,3,1,soil,ド、ト、つち
二,2,1,two,ニ、ふた、ふた-つ
日,4,1,day,ニチ、ジツ、ひ、か
入,2,1,enter,ニュウ、い-る、い-れる、はい-る
年,6,1,year,ネン、とし
白,5,1,white,ハク、ビャク、しろ、（しら）、しろ-い
八,2,1,eight,ハチ、や、や-つ、やっ-つ、（よう）
百,6,1,hundred,ヒャク
文,4,1,writing,ブン、モン、ふみ
木,4,1,tree,ボク、モク、き、（こ）
本,5,1,book,ホン、もと
名,6,1,name,メイ、ミョウ、な
目,5,1,eye,モク、（ボク）、め、（ま）
立,5,1,stand up,リツ、（リュウ）、た-つ、た-てる
力,2,1,power,リョク、リキ、ちから
林,8,1,woods,リン、はやし
六,4,1,six,ロク、む、む-つ、むっ-つ、（むい）
引,4,2,pull,イン、ひ-く、ひ-ける
羽,6,2,feather,ウ、は、はね
雲,12,2,cloud,ウン、くも
園,13,2,garden,エン、その
遠,13,2,far,エン、（オン）、とお-い
何,7,2,what,カ、なに、（なん）
科,9,2,section,カ
夏,10,2,summer,カ、（ゲ）、なつ
家,10,2,house,カ、ケ、いえ、や
歌,14,2,song,カ、うた、うた-う
画,8,2,tableau,ガ、カク
回,6,2,times,カイ、（エ）、まわ-る、まわ-す
会,6,2,association,カイ、エ、あ-う
海,9,2,sea,カイ、うみ
絵,12,2,picture,カイ、エ
外,5,2,outside,ガイ、ゲ、そと、ほか、はず-す、はず-れる
角,7,2,angle,カク、かど、つの
楽,13,2,pleasure,ガク、ラク、たの-しい、たの-しむ
活,9,2,active,カツ
間,12,2,interval,カン、ケン、あいだ、ま
丸,3,2,circle,ガン、まる、まる-い、まる-める
岩,8,2,boulder,ガン、いわ
顔,18,2,face,ガン、かお
汽,7,2,steam,キ
記,10,2,write down,キ、しる-す
帰,10,2,return,キ、かえ-る、かえ-す
弓,3,2,bow (archery; violin),キュウ、ゆみ
牛,4,2,cow,ギュウ、うし
魚,11,2,fish,ギョ、うお、さかな
京,8,2,capital,キョウ、ケイ
強,11,2,strong,キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる
教,11,2,teach,キョウ、おし-える、おそ-わる
近,7,2,near,キン、ちか-い
兄,5,2,older brother,ケイ、（キョウ）、あに
形,7,2,shape,ケイ、ギョウ、かた、かたち
計,9,2,measure,ケイ、はか-る、はか-らう
元,4,2,origin,ゲン、ガン、もと
言,7,2,say,ゲン、ゴン、い-う、こと
原,10,2,field,ゲン、はら
戸,4,2,door,コ、と
古,5,2,old,コ、ふる-い、ふる-す
午,4,2,noon,ゴ
後,9,2,behind,ゴ、コウ、のち、うし-ろ、あと、おく-れる
語,14,2,language,ゴ、かた-る、かた-らう
工,3,2,craft,コウ、ク
公,4,2,public,コウ、おおやけ
広,5,2,wide,コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる
交,6,2,mix,コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす
光,6,2,ray,コウ、ひか-る、ひかり
考,6,2,think,コウ、かんが-える
行,6,2,go,コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う
高,10,2,tall; expensive,コウ、たか-い、たか、たか-まる、たか-める
黄,11,2,yellow,コウ、オウ、き、（こ）
合,6,2,fit,ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる
谷,7,2,valley,コク、たに
国,8,2,country,コク、くに
黒,11,2,black,コク、くろ、くろ-い
今,4,2,now,コン、キン、いま
才,3,2,genius,サイ
細,11,2,thin,サイ、ほそ-い、ほそ-る、こま-か、こま-かい
作,7,2,make,サク、サ、つく-る
算,14,2,calculate,サン
止,4,2,stop,シ、と-まる、と-める
市,5,2,market,シ、いち
矢,5,2,arrow,シ、や
姉,8,2,older sister,シ、あね
思,9,2,think,シ、おも-う
紙,10,2,paper,シ、かみ
寺,6,2,Buddhist temple,ジ、てら
自,6,2,oneself,ジ、シ、みずか-ら
時,10,2,time,ジ、とき
室,9,2,room,シツ、むろ
社,7,2,company,シャ、やしろ
弱,10,2,weak,ジャク、よわ-い、よわ-る、よわ-まる、よわ-める
首,9,2,neck,シュ、くび
秋,9,2,autumn,シュウ、あき
週,11,2,week,シュウ
春,9,2,springtime,シュン、はる
書,10,2,write,ショ、か-く
少,4,2,few,ショウ、すく-ない、すこ-し
場,12,2,place,ジョウ、ば
色,6,2,color,ショク、シキ、いろ
食,9,2,eat; meal,ショク、（ジキ）、く-う、く-らう、た-べる
心,4,2,heart,シン、こころ
新,13,2,new,シン、あたら-しい、あら-た、にい
親,16,2,parent,シン、おや、した-しい、した-しむ
図,7,2,diagram,ズ、ト、はか-る
数,13,2,number,スウ、（ス）、かず、かぞ-える
西,6,2,west,セイ、サイ、にし
声,7,2,voice,セイ、（ショウ）、こえ、（こわ）
星,9,2,star,セイ、（ショウ）、ほし
晴,12,2,clear up,セイ、は-れる、は-らす
切,4,2,cut,セツ、（サイ）、き-る、き-れる
雪,11,2,snow,セツ、ゆき
船,11,2,boat,セン、ふね、（ふな）
線,15,2,line,セン
前,9,2,in front,ゼン、まえ
組,11,2,association,ソ、く-む、くみ
走,7,2,run,ソウ、はし-る
多,6,2,many,タ、おお-い
太,4,2,thick,タイ、タ、ふと-い、ふと-る
体,7,2,body,タイ、テイ、からだ
台,5,2,pedestal,ダイ、タイ
地,6,2,ground,チ、ジ
池,6,2,pond,チ、いけ
知,8,2,know,チ、し-る
茶,9,2,tea,チャ、サ
昼,9,2,daytime,チュウ、ひる
長,8,2,long,チョウ、なが-い
鳥,11,2,bird,チョウ、とり
朝,12,2,morning,チョウ、あさ
直,8,2,straight,チョク、ジキ、ただ-ちに、なお-す、なお-る
通,10,2,pass through,ツウ、（ツ）、とお-る、とお-す、かよ-う
弟,7,2,younger brother,テイ、（ダイ）、（デ）、おとうと
店,8,2,shop,テン、みせ
点,9,2,point,テン
電,13,2,electricity,デン
刀,2,2,sword,トウ、かたな
冬,5,2,winter,トウ、ふゆ
当,6,2,hit,トウ、あ-たる、あ-てる
東,8,2,east,トウ、ひがし
答,12,2,answer,トウ、こた-える、こた-え
頭,16,2,head,トウ、ズ、（ト）、あたま、かしら
同,6,2,same,ドウ、おな-じ
道,12,2,road,ドウ、（トウ）、みち
読,14,2,read,ドク、トク、（トウ）、よ-む
内,4,2,inside,ナイ、（ダイ）、うち
南,9,2,south,ナン、（ナ）、みなみ
肉,6,2,meat,ニク
馬,10,2,horse,バ、うま、（ま）
売,7,2,sell,バイ、う-る、う-れる
買,12,2,buy,バイ、か-う
麦,7,2,wheat,バク、むぎ
半,5,2,half,ハン、なか-ば
番,12,2,one's turn,バン
父,4,2,father,フ、ちち
風,9,2,wind,フウ、（フ）、かぜ、（かざ）
分,4,2,part;  minute of time,ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ
聞,14,2,hear,ブン、モン、き-く、き-こえる
米,6,2,rice,ベイ、マイ、こめ
歩,8,2,walk,ホ、ブ、（フ）、ある-く、あゆ-む
母,5,2,mother,ボ、はは
方,4,2,direction,ホウ、かた
北,5,2,north,ホク、きた
毎,6,2,every,マイ
妹,8,2,younger sister,マイ、いもうと
万,3,2,ten thousand,マン、バン
明,8,2,bright,メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす
鳴,14,2,chirp,メイ、な-く、な-る、な-らす
毛,4,2,hair,モウ、け
門,8,2,gates,モン、かど
夜,8,2,night,ヤ、よ、よる
野,11,2,field,ヤ、の
友,4,2,friend,ユウ、とも
用,5,2,use,ヨウ、もち-いる
曜,18,2,day of the week,ヨウ
来,7,2,come,ライ、く-る、きた-る、きた-す
里,7,2,village,リ、さと
理,11,2,reason,リ
話,13,2,talk,ワ、はな-す、はなし
悪,11,3,bad,アク、オ、わる-い
安,6,3,cheap,アン、やす-い
暗,13,3,dark,アン、くら-い
医,7,3,doctor,イ
委,8,3,committee,イ、ゆだ-ねる
意,13,3,idea,イ
育,8,3,nurture,イク、そだ-つ、そだ-てる、はぐく-む
員,10,3,member,イン
院,10,3,institution,イン
飲,12,3,drink,イン、の-む
運,12,3,carry,ウン、はこ-ぶ
泳,8,3,swim,エイ、およ-ぐ
駅,14,3,station,エキ
央,5,3,center,オウ
横,15,3,side,オウ、よこ
屋,9,3,roof,オク、や
温,12,3,warm,オン、あたた-か、あたた-かい、あたた-まる、あたた-める
化,4,3,change,カ、ケ、ば-ける、ば-かす
荷,10,3,luggage,カ、に
界,9,3,world,カイ
開,12,3,open,カイ、ひら-く、ひら-ける、あ-く、あ-ける
階,12,3,floor of a building,カイ
寒,12,3,cold,カン、さむ-い
感,13,3,feeling,カン
漢,13,3,China,カン
館,16,3,public building,カン、やかた
岸,8,3,beach,ガン、きし
起,10,3,wake up,キ、お-きる、お-こる、お-こす
期,12,3,period of time,キ、（ゴ）
客,9,3,guest,キャク、カク
究,7,3,research,キュウ、きわ-める
急,9,3,hurry,キュウ、いそ-ぐ
級,9,3,rank,キュウ
宮,10,3,Shinto shrine,キュウ、グウ、（ク）、みや
球,11,3,sphere,キュウ、たま
去,5,3,leave,キョ、コ、さ-る
橋,16,3,bridge,キョウ、はし
業,13,3,business,ギョウ、ゴウ、わざ
曲,6,3,musical composition,キョク、ま-がる、ま-げる
局,7,3,office,キョク
銀,14,3,silver,ギン
区,4,3,ward,ク
苦,8,3,suffer,ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る
具,8,3,tool,グ
君,7,3,you,クン、きみ
係,9,3,person in charge,ケイ、かか-る、かかり
軽,12,3,light,ケイ、かる-い、かろ-やか
血,6,3,blood,ケツ、ち
決,7,3,decide,ケツ、き-める、き-まる
研,9,3,sharpen,ケン、と-ぐ
県,9,3,prefecture,ケン
庫,10,3,warehouse,コ、（ク）
湖,12,3,lake,コ、みずうみ
向,6,3,over there,コウ、む-く、む-ける、む-かう、む-こう
幸,8,3,happiness,コウ、さいわ-い、さち、しあわ-せ
港,12,3,harbor,コウ、みなと
号,5,3,number,ゴウ
根,10,3,root,コン、ね
祭,11,3,festival,サイ、まつ-る、まつ-り
皿,5,3,dish,さら
仕,5,3,do,シ、（ジ）、つか-える
死,6,3,death,シ、し-ぬ
使,8,3,use,シ、つか-う
始,8,3,begin,シ、はじ-める、はじ-まる
指,9,3,finger,シ、ゆび、さ-す
歯,12,3,tooth,シ、は
詩,13,3,poem,シ
次,6,3,next,ジ、シ、つ-ぐ、つぎ
事,8,3,abstract thing,ジ、（ズ）、こと
持,9,3,hold,ジ、も-つ
式,6,3,style,シキ
実,8,3,truth,ジツ、み、みの-る
写,5,3,copy,シャ、うつ-す、うつ-る
者,8,3,someone,シャ、もの
主,5,3,master,シュ、（ス）、ぬし、おも
守,6,3,protect,シュ、（ス）、まも-る、も-り
取,8,3,take,シュ、と-る
酒,10,3,alcoholic drink,シュ、さけ、（さか）
受,8,3,accept,ジュ、う-ける、う-かる
州,6,3,state,シュウ、す
拾,9,3,pick up,シュウ、ジュウ、ひろ-う
終,11,3,end,シュウ、お-わる、お-える
習,11,3,learn,シュウ、なら-う
集,12,3,collect,シュウ、あつ-まる、あつ-める、つど-う
住,7,3,dwelling,ジュウ、す-む、す-まう
重,9,3,heavy,ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる
宿,11,3,inn,シュク、やど、やど-る、やど-す
所,8,3,place,ショ、ところ
暑,12,3,hot,ショ、あつ-い
助,7,3,help,ジョ、たす-ける、たす-かる、すけ
昭,9,3,shining,ショウ
消,10,3,extinguish,ショウ、き-える、け-す
商,11,3,sell,ショウ、あきな-う
章,11,3,chapter,ショウ
勝,12,3,win,ショウ、か-つ、まさ-る
乗,9,3,ride,ジョウ、の-る、の-せる
植,12,3,plant,ショク、う-える、う-わる
申,5,3,say,シン、もう-す
身,7,3,body,シン、み
神,9,3,god,シン、ジン、かみ、（かん）、（こう）
真,10,3,TRUE,シン、ま
深,11,3,deep,シン、ふか-い、ふか-まる、ふか-める
進,11,3,advance,シン、すす-む、すす-める
世,5,3,world,セイ、セ、よ
整,16,3,put in order,セイ、ととの-える、ととの-う
昔,8,3,long ago,セキ、（シャク）、むかし
全,6,3,whole,ゼン、まった-く、すべ-て
相,9,3,mutual,ソウ、ショウ、あい
送,9,3,send,ソウ、おく-る
想,13,3,concept,ソウ、（ソ）
息,10,3,breath,ソク、いき
速,10,3,fast,ソク、はや-い、はや-める、はや-まる、すみ-やか
族,11,3,tribe,ゾク
他,5,3,other,タ、ほか
打,5,3,hit,ダ、う-つ
対,7,3,opposite,タイ、ツイ
待,9,3,wait,タイ、ま-つ
代,5,3,substitute,ダイ、タイ、か-わる、か-える、よ、しろ
第,11,3,ordinal number prefix,ダイ
題,18,3,topic,ダイ
炭,9,3,charcoal,タン、すみ
短,12,3,short,タン、みじか-い
談,15,3,discuss,ダン
着,12,3,wear,チャク、（ジャク）、き-る、き-せる、つ-く、つ-ける
注,8,3,pour,チュウ、そそ-ぐ
柱,9,3,pillar,チュウ、はしら
丁,2,3,ward,チョウ、テイ
帳,11,3,account book,チョウ
調,15,3,investigate,チョウ、しら-べる、ととの-う、ととの-える
追,9,3,follow,ツイ、お-う
定,8,3,decide,テイ、ジョウ、さだ-める、さだ-まる、さだ-か
庭,10,3,garden,テイ、にわ
笛,11,3,flute,テキ、ふえ
鉄,13,3,iron,テツ
転,11,3,revolve,テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ
都,11,3,metropolis,ト、ツ、みやこ
度,9,3,degrees,ド、（ト）、（タク）、たび
投,7,3,throw,トウ、な-げる
豆,7,3,beans,トウ、（ズ）、まめ
島,10,3,island,トウ、しま
湯,12,3,hot water,トウ、ゆ
登,12,3,climb,トウ、ト、のぼ-る
等,12,3,class,トウ、ひと-しい
動,11,3,move,ドウ、うご-く、うご-かす
童,12,3,juvenile,ドウ、わらべ
農,13,3,farming,ノウ
波,8,3,wave,ハ、なみ
配,10,3,distribute,ハイ、くば-る
倍,10,3,double,バイ
箱,15,3,box,はこ
畑,9,3,farm,はた、はたけ
発,9,3,departure,ハツ、ホツ
反,4,3,anti-,ハン、（ホン）、（タン）、そ-る、そ-らす
坂,7,3,slope,ハン、さか
板,8,3,board,ハン、バン、いた
皮,5,3,skin,ヒ、かわ
悲,12,3,sad,ヒ、かな-しい、かな-しむ
美,9,3,beauty,ビ、うつく-しい
鼻,14,3,nose,ビ、はな
筆,12,3,writing brush,ヒツ、ふで
氷,5,3,ice,ヒョウ、こおり、ひ
表,8,3,express,ヒョウ、おもて、あらわ-す、あらわ-れる
秒,9,3,second (part of time),ビョウ
病,10,3,sick,ビョウ、（ヘイ）、や-む、やまい
品,9,3,article,ヒン、しな
負,9,3,lose,フ、ま-ける、ま-かす、お-う
部,11,3,part,ブ
服,8,3,clothes,フク
福,13,3,luck,フク
物,8,3,thing,ブツ、モツ、もの
平,5,3,flat,ヘイ、ビョウ、たい-ら、ひら
返,7,3,return,ヘン、かえ-す、かえ-る
勉,10,3,exertion,ベン
放,8,3,release,ホウ、はな-す、はな-つ、はな-れる、ほう-る
味,8,3,flavor,ミ、あじ、あじ-わう
命,8,3,fate,メイ、ミョウ、いのち
面,9,3,face,メン、おも、おもて、つら
問,11,3,question,モン、と-う、と-い、（とん）
役,7,3,service,ヤク、エキ
薬,16,3,medicine,ヤク、くすり
由,5,3,reason,ユ、ユウ、（ユイ）、よし
油,8,3,oil,ユ、あぶら
有,6,3,have,ユウ、ウ、あ-る
遊,12,3,play,ユウ、（ユ）、あそ-ぶ
予,4,3,in advance,ヨ
羊,6,3,sheep,ヨウ、ひつじ
洋,9,3,ocean,ヨウ
葉,12,3,leaf,ヨウ、は
陽,12,3,sunshine,ヨウ
様,14,3,formal title,ヨウ、さま
落,12,3,fall,ラク、お-ちる、お-とす
流,10,3,stream,リュウ、（ル）、なが-れる、なが-す
旅,10,3,trip,リョ、たび
両,6,3,both,リョウ
緑,14,3,green,リョク、（ロク）、みどり
礼,5,3,thanks,レイ、ライ
列,6,3,row,レツ
練,14,3,practice,レン、ね-る
路,13,3,road,ロ、じ
和,8,3,peace,ワ、（オ）、やわ-らぐ、やわ-らげる、なご-む、なご-やか
愛,13,4,love,アイ
案,10,4,plan,アン
以,5,4,by means of,イ
衣,6,4,clothes,イ、ころも
位,7,4,rank,イ、くらい
茨,9,4,thorn,（いばら）
印,6,4,mark,イン、しるし
英,8,4,England,エイ
栄,9,4,prosperity,エイ、さか-える、は-え、は-える
媛,12,4,princess; beautiful woman,エン
塩,13,4,salt,エン、しお
岡,8,4,hill,（おか）
億,15,4,hundred million,オク
加,5,4,add,カ、くわ-える、くわ-わる
果,8,4,fruit,カ、は-たす、は-てる、は-て
貨,11,4,freight,カ
課,15,4,section,カ
芽,8,4,bud,ガ、め
賀,12,4,congratulations,ガ
改,7,4,reformation,カイ、あらた-める、あらた-まる
械,11,4,contraption,カイ
害,10,4,harm,ガイ
街,12,4,street,ガイ、（カイ）、まち
各,6,4,each,カク、おのおの
覚,12,4,memorize,カク、おぼ-える、さ-ます、さ-める
潟,15,4,lagoon,かた
完,7,4,perfect,カン
官,8,4,government official,カン
管,14,4,pipe,カン、くだ
関,14,4,related,カン、せき、かか-わる
観,18,4,observe,カン
願,19,4,request,ガン、ねが-う
岐,7,4,branch off,キ
希,7,4,hope,キ
季,8,4,seasons,キ
旗,14,4,national flag,キ、はた
器,15,4,container,キ、うつわ
機,16,4,machine,キ、はた
議,20,4,deliberation,ギ
求,7,4,request,キュウ、もと-める
泣,8,4,cry,キュウ、な-く
給,12,4,salary,キュウ
挙,10,4,raise,キョ、あ-げる、あ-がる
漁,14,4,fishing,ギョ、リョウ
共,6,4,together,キョウ、とも
協,8,4,cooperation,キョウ
鏡,19,4,mirror,キョウ、かがみ
競,20,4,compete,キョウ、ケイ、きそ-う、せ-る
極,12,4,poles,キョク、ゴク、きわ-める、きわ-まる、きわ-み
熊,14,4,bear,くま
訓,10,4,instruction,クン
軍,9,4,army,グン
郡,10,4,county,グン
群,13,4,flock,グン、む-れる、む-れ、（むら）
径,8,4,diameter,ケイ
景,12,4,scenery,ケイ
芸,7,4,art,ゲイ
欠,4,4,lack,ケツ、か-ける、か-く
結,12,4,tie,ケツ、むす-ぶ、ゆ-う、ゆ-わえる
建,9,4,build,ケン、（コン）、た-てる、た-つ
健,11,4,healthy,ケン、すこ-やか
験,18,4,test,ケン、（ゲン）
固,8,4,hard,コ、かた-める、かた-まる、かた-い
功,5,4,achievement,コウ、（ク）
好,6,4,like,コウ、この-む、す-く
香,9,4,incense,コウ、（キョウ）、か、かお-り、かお-る
候,10,4,climate,コウ、そうろう
康,11,4,health,コウ
佐,7,4,help,サ
差,10,4,distinction,サ、さ-す
菜,11,4,vegetable,サイ、な
最,12,4,most,サイ、もっと-も
埼,11,4,cape (geography),（さい）
材,7,4,lumber,ザイ
崎,11,4,promontory,さき
昨,9,4,previous,サク
札,5,4,tag,サツ、ふだ
刷,8,4,printing,サツ、す-る
察,14,4,guess,サツ
参,8,4,participate,サン、まい-る
産,11,4,give birth,サン、う-む、う-まれる、うぶ
散,12,4,scatter,サン、ち-る、ち-らす、ち-らかす、ち-らかる
残,10,4,remainder,ザン、のこ-る、のこ-す
氏,4,4,family name,シ、うじ
司,5,4,director,シ
試,13,4,test,シ、こころ-みる、ため-す
児,7,4,child,ジ、（ニ）
治,8,4,govern,ジ、チ、おさ-める、おさ-まる、なお-る、なお-す
滋,12,4,nourishing,ジ
辞,13,4,resign,ジ、や-める
鹿,11,4,deer,しか、（か）
失,5,4,lose,シツ、うしな-う
借,10,4,borrow,シャク、か-りる
種,14,4,kind,シュ、たね
周,8,4,circumference,シュウ、まわ-り
祝,9,4,celebrate,シュク、（シュウ）、いわ-う
順,12,4,obey,ジュン
初,7,4,first,ショ、はじ-め、はじ-めて、はつ、うい、そ-める
松,8,4,pine,ショウ、まつ
笑,10,4,laugh,ショウ、わら-う、え-む
唱,11,4,chant,ショウ、とな-える
焼,12,4,bake,ショウ、や-く、や-ける
照,13,4,illuminate,ショウ、て-る、て-らす、て-れる
城,9,4,castle,ジョウ、しろ
縄,15,4,straw rope,ジョウ、なわ
臣,7,4,retainer,シン、ジン
信,9,4,trust,シン
井,4,4,well,セイ、（ショウ）、い
成,6,4,become,セイ、（ジョウ）、な-る、な-す
省,9,4,government ministry,セイ、ショウ、かえり-みる、はぶ-く
清,11,4,pure,セイ、（ショウ）、きよ-い、きよ-まる、きよ-める
静,14,4,quiet,セイ、（ジョウ）、しず、しず-か、しず-まる、しず-める
席,10,4,seat,セキ
積,16,4,accumulate,セキ、つ-む、つ-もる
折,7,4,fold,セツ、お-る、おり、お-れる
節,13,4,node,セツ、（セチ）、ふし
説,14,4,theory,セツ、（ゼイ）、と-く
浅,9,4,shallow,セン、あさ-い
戦,13,4,war,セン、いくさ、たたか-う
選,15,4,choose,セン、えら-ぶ
然,12,4,so,ゼン、ネン
争,6,4,conflict,ソウ、あらそ-う
倉,10,4,warehouse,ソウ、くら
巣,11,4,nest,ソウ、す
束,7,4,bundle,ソク、たば
側,11,4,side,ソク、がわ
続,13,4,continue,ゾク、つづ-く、つづ-ける
卒,8,4,graduate,ソツ
孫,10,4,grandchild,ソン、まご
帯,10,4,sash,タイ、お-びる、おび
隊,12,4,group,タイ
達,12,4,attain,タツ
単,9,4,simple,タン
置,13,4,put,チ、お-く
仲,6,4,relationship,チュウ、なか
沖,7,4,open sea,チュウ、おき
兆,6,4,portent;  trillion,チョウ、きざ-す、きざ-し
低,7,4,low,テイ、ひく-い、ひく-める、ひく-まる
底,8,4,bottom,テイ、そこ
的,8,4,target,テキ、まと
典,8,4,code,テン
伝,6,4,transmit,デン、つた-わる、つた-える、つた-う
徒,10,4,junior,ト
努,7,4,toil,ド、つと-める
灯,6,4,lamp,トウ、ひ
働,13,4,work,ドウ、はたら-く
特,10,4,special,トク
徳,14,4,benevolence,トク
栃,9,4,horse chestnut,（とち）
奈,8,4,what,ナ
梨,11,4,pear tree,なし
熱,15,4,heat,ネツ、あつ-い
念,8,4,thought,ネン
敗,11,4,failure,ハイ、やぶ-れる
梅,10,4,ume (Japanese apricot),バイ、うめ
博,12,4,Dr.,ハク、（バク）
阪,7,4,heights,ハン
飯,12,4,meal,ハン、めし
飛,9,4,fly,ヒ、と-ぶ、と-ばす
必,5,4,without fail,ヒツ、かなら-ず
票,11,4,ballot,ヒョウ
標,15,4,signpost,ヒョウ
不,4,4,non-,フ、ブ
夫,4,4,husband,フ、（フウ）、おっと
付,5,4,attach,フ、つ-ける、つ-く
府,8,4,urban prefecture,フ
阜,8,4,mound,（フ）
富,12,4,rich,フ、（フウ）、と-む、とみ
副,11,4,vice,フク
兵,7,4,soldier,ヘイ、ヒョウ
別,7,4,separate,ベツ、わか-れる
辺,5,4,environs,ヘン、あた-り、べ
変,9,4,change,ヘン、か-わる、か-える
便,9,4,convenience,ベン、ビン、たよ-り
包,5,4,wrap,ホウ、つつ-む
法,8,4,method,ホウ、（ハッ）、（ホッ）
望,11,4,hope,ボウ、モウ、のぞ-む
牧,8,4,breed,ボク、まき
末,5,4,end,マツ、バツ、すえ
満,12,4,full,マン、み-ちる、み-たす
未,5,4,not yet,ミ
民,5,4,people,ミン、たみ
無,12,4,nothing,ム、ブ、な-い
約,9,4,promise,ヤク
勇,9,4,courage,ユウ、いさ-む
要,9,4,need,ヨウ、かなめ、い-る
養,15,4,foster,ヨウ、やしな-う
浴,10,4,bathe,ヨク、あ-びる、あ-びせる
利,7,4,profit,リ、き-く
陸,11,4,land,リク
良,7,4,good,リョウ、よ-い
料,10,4,fee,リョウ
量,12,4,quantity,リョウ、はか-る
輪,15,4,wheel,リン、わ
類,18,4,sort,ルイ、たぐ-い
令,5,4,orders,レイ
冷,7,4,cool,レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます
例,8,4,example,レイ、たと-える
連,10,4,take along,レン、つら-なる、つら-ねる、つ-れる
老,6,4,old man,ロウ、お-いる、ふ-ける
労,7,4,labour,ロウ
録,16,4,record,ロク
圧,5,5,pressure,アツ
囲,7,5,surround,イ、かこ-む、かこ-う
移,11,5,shift,イ、うつ-る、うつ-す
因,6,5,cause,イン、よ-る
永,5,5,eternity,エイ、なが-い
営,12,5,manage,エイ、いとな-む
衛,16,5,defense,エイ
易,8,5,easy,エキ、イ、やさ-しい
益,10,5,benefit,エキ、（ヤク）
液,11,5,fluid,エキ
演,14,5,perform,エン
応,7,5,respond,オウ、こた-える
往,8,5,outward journey,オウ
桜,10,5,cherry tree,オウ、さくら
可,5,5,possible,カ
仮,6,5,temporary,カ、（ケ）、かり
価,8,5,value,カ、あたい
河,8,5,river,カ、かわ
